frecuencia neg,frecuencia pos,palabra
673,501,stuff
2318,1783,going
500,612,moment
0,35,mj
2848,2334,ve
545,418,started
89,98,listening
1317,1739,music
2637,1965,watching
281,301,odd
382,571,documentary
1142,1094,watched
7,3,wiz
0,24,moonwalker
1403,937,maybe
2141,1562,want
5038,4272,get
316,448,certain
83,104,insight
1965,1070,guy
1798,1639,thought
6262,5474,really
490,481,cool
41,60,eighties
4719,3302,make
990,1005,mind
409,447,whether
95,103,guilty
145,271,innocent
1942,2100,part
31,51,biography
354,437,feature
19213,20933,film
728,974,remember
5450,6024,see
604,887,cinema
122,168,originally
400,586,released
101,333,subtle
66,65,messages
526,619,feeling
293,344,towards
65,62,press
3606,5549,also
660,406,obvious
366,463,message
169,156,drugs
7394,1907,bad
3083,2039,m
52,39,kay
92,167,visually
174,326,impressive
1148,1358,course
528,805,michael
125,215,jackson
536,139,unless
170,19,remotely
11238,9036,like
637,480,anyway
445,344,hate
1860,2270,find
1476,333,boring
1390,1996,may
569,354,call
3,2,egotist
2,3,consenting
1696,1265,making
24955,19075,movie
624,797,fans
7036,5400,would
2981,2414,say
4540,3822,made
846,1487,true
880,1132,nice
438,355,actual
1298,1756,bit
716,820,finally
675,545,starts
2124,826,minutes
8,6,excluding
31,97,smooth
126,199,criminal
386,489,sequence
300,390,joe
13,16,pesci
256,282,convincing
10,13,psychopathic
132,488,powerful
214,189,drug
142,206,lord
616,671,wants
1101,780,dead
490,376,beyond
2,5,overheard
89,115,plans
14,4,nah
3507,3515,character
0,4,ranted
797,555,wanted
4806,4479,people
3334,2832,know
4,6,supplying
664,548,etc
19,5,dunno
50,54,hates
403,396,lots
1839,1849,things
198,146,turning
733,491,car
105,112,robot
1768,1310,whole
121,128,speed
120,63,demon
2406,2038,director
1522,1727,must
47,34,patience
27,49,saint
780,893,came
228,165,filming
1,4,kiddy
529,452,usually
335,340,directors
331,463,working
13135,13653,one
685,514,kid
1384,957,let
549,512,alone
590,223,bunch
47,84,performing
116,311,complex
281,463,dance
2813,2565,scene
289,132,bottom
1016,854,line
489,474,level
2250,2075,another
3642,3654,think
472,315,stay
1470,1305,away
1050,780,try
1823,1553,give
16,29,wholesome
45,78,ironically
0,2,bestest
127,131,buddy
1464,1389,girl
726,1017,truly
292,294,talented
3262,2733,ever
169,159,grace
236,266,planet
4255,6406,well
396,510,attention
627,589,gave
323,386,subject
34,16,hmmm
879,1506,different
647,633,behind
40,52,closed
55,70,doors
1839,1684,fact
1183,683,either
562,507,extremely
1428,273,stupid
9,1,sickest
6,4,liars
672,774,hope
157,204,latter
637,1191,classic
741,1310,war
41,102,worlds
42,76,timothy
32,16,hines
590,852,entertaining
730,433,obviously
1255,1186,goes
2640,6418,great
533,259,effort
15,10,lengths
8,14,faithfully
19,16,recreate
108,184,h
223,260,g
40,81,wells
1278,1143,book
612,836,mr
56,111,succeeds
43,153,appreciated
238,210,standard
628,226,predictable
850,1057,hollywood
97,113,fare
1223,1260,comes
2023,1954,every
1064,1298,year
373,427,e
59,95,spielberg
989,1168,version
334,451,tom
66,62,cruise
91,31,slightest
57,50,resemblance
1002,1220,everyone
1528,885,looks
3,6,envision
171,44,amateur
153,245,critics
2246,1899,look
24,27,criticize
1193,1128,everything
666,929,others
300,326,rate
371,560,important
8,17,bases
127,110,entertained
3259,3225,never
286,286,agree
366,879,enjoyed
1262,1118,put
65,113,faithful
445,513,novel
1267,1305,found
271,531,easy
38,48,overlook
10,24,perceive
32,37,shortcomings
